well_id,api_uwi,operator,county,reservoir,state,basin,area_block,date,oil_bbl,gas_mcf,water_bbl,days_on_prod,days_in_month
G21245 PN002,608124005400,UNION OIL COMPANY OF CALIFORNIA,Offshore Federal,WR678,OCS,Gulf of Mexico,WR  678,2021-01-01,274963,63743,4161,31,31
G21245 PN002,608124005400,UNION OIL COMPANY OF CALIFORNIA,Offshore Federal,WR678,OCS,Gulf of Mexico,WR  678,2021-02-01,214838,50717,3248,28,28
G21245 PN002,608124005400,UNION OIL COMPANY OF CALIFORNIA,Offshore Federal,WR678,OCS,Gulf of Mexico,WR  678,2021-03-01,275823,64526,416,31,31
G21245 PN002,608124005400,UNION OIL COMPANY OF CALIFORNIA,Offshore Federal,WR678,OCS,Gulf of Mexico,WR  678,2021-04-01,253032,59682,3115,30,30
G21245 PN002,608124005400,UNION OIL COMPANY OF CALIFORNIA,Offshore Federal,WR678,OCS,Gulf of Mexico,WR  678,2021-05-01,273126,63553,6503,31,31
G21245 PN002,608124005400,UNION OIL COMPANY OF CALIFORNIA,Offshore Federal,WR678,OCS,Gulf of Mexico,WR  678,2021-06-01,234257,57468,5848,30,30
G21245 PN002,608124005400,UNION OIL COMPANY OF CALIFORNIA,Offshore Federal,WR678,OCS,Gulf of Mexico,WR  678,2021-07-01,263394,63290,6542,31,31
G21245 PN002,608124005400,UNION OIL COMPANY OF CALIFORNIA,Offshore Federal,WR678,OCS,Gulf of Mexico,WR  678,2021-08-01,193516,46453,4875,26,31
G21245 PN002,608124005400,UNION OIL COMPANY OF CALIFORNIA,Offshore Federal,WR678,OCS,Gulf of Mexico,WR  678,2021-09-01,154615,36493,3656,18,30
G21245 PN002,608124005400,UNION OIL COMPANY OF CALIFORNIA,Offshore Federal,WR678,OCS,Gulf of Mexico,WR  678,2021-10-01,276374,66014,6993,31,31
G21245 PN002,608124005400,UNION OIL COMPANY OF CALIFORNIA,Offshore Federal,WR678,OCS,Gulf of Mexico,WR  678,2021-11-01,252881,59875,6906,30,30
G21245 PN002,608124005400,UNION OIL COMPANY OF CALIFORNIA,Offshore Federal,WR678,OCS,Gulf of Mexico,WR  678,2021-12-01,254773,60076,8195,31,31
G21245 PN002,608124005400,UNION OIL COMPANY OF CALIFORNIA,Offshore Federal,WR678,OCS,Gulf of Mexico,WR  678,2022-01-01,245893,57432,8006,31,31
G21245 PN002,608124005400,UNION OIL COMPANY OF CALIFORNIA,Offshore Federal,WR678,OCS,Gulf of Mexico,WR  678,2022-02-01,219017,52141,7138,28,28
G21245 PN002,608124005400,UNION OIL COMPANY OF CALIFORNIA,Offshore Federal,WR678,OCS,Gulf of Mexico,WR  678,2022-03-01,229138,54357,7390,31,31
G21245 PN002,608124005400,UNION OIL COMPANY OF CALIFORNIA,Offshore Federal,WR678,OCS,Gulf of Mexico,WR  678,2022-04-01,211712,49442,6803,29,30
G21245 PN002,608124005400,UNION OIL COMPANY OF CALIFORNIA,Offshore Federal,WR678,OCS,Gulf of Mexico,WR  678,2022-05-01,185855,44119,5833,25,31
G21245 PN002,608124005400,UNION OIL COMPANY OF CALIFORNIA,Offshore Federal,WR678,OCS,Gulf of Mexico,WR  678,2022-06-01,218009,51888,7061,30,30
G21245 PN002,608124005400,UNION OIL COMPANY OF CALIFORNIA,Offshore Federal,WR678,OCS,Gulf of Mexico,WR  678,2022-07-01,198147,49120,6382,31,31
G21245 PN002,608124005400,UNION OIL COMPANY OF CALIFORNIA,Offshore Federal,WR678,OCS,Gulf of Mexico,WR  678,2022-08-01,168053,42819,2916,26,31
G21245 PN002,608124005400,UNION OIL COMPANY OF CALIFORNIA,Offshore Federal,WR678,OCS,Gulf of Mexico,WR  678,2022-09-01,214566,53926,7849,30,30
G21245 PN002,608124005400,UNION OIL COMPANY OF CALIFORNIA,Offshore Federal,WR678,OCS,Gulf of Mexico,WR  678,2022-10-01,217855,46868,7706,31,31
G21245 PN002,608124005400,UNION OIL COMPANY OF CALIFORNIA,Offshore Federal,WR678,OCS,Gulf of Mexico,WR  678,2022-11-01,209945,52679,6836,30,30
G21245 PN002,608124005400,UNION OIL COMPANY OF CALIFORNIA,Offshore Federal,WR678,OCS,Gulf of Mexico,WR  678,2022-12-01,211616,52915,5320,31,31
G21245 PN002,608124005400,UNION OIL COMPANY OF CALIFORNIA,Offshore Federal,WR678,OCS,Gulf of Mexico,WR  678,2023-01-01,199802,49388,7124,30,31
G21245 PN002,608124005400,UNION OIL COMPANY OF CALIFORNIA,Offshore Federal,WR678,OCS,Gulf of Mexico,WR  678,2023-02-01,180090,45081,6701,28,28
G21245 PN002,608124005400,UNION OIL COMPANY OF CALIFORNIA,Offshore Federal,WR678,OCS,Gulf of Mexico,WR  678,2023-03-01,202894,49686,7422,31,31
G21245 PN002,608124005400,UNION OIL COMPANY OF CALIFORNIA,Offshore Federal,WR678,OCS,Gulf of Mexico,WR  678,2023-04-01,190229,48247,7079,30,30
G21245 PN002,608124005400,UNION OIL COMPANY OF CALIFORNIA,Offshore Federal,WR678,OCS,Gulf of Mexico,WR  678,2023-05-01,200308,51531,2214,31,31
G21245 PN002,608124005400,UNION OIL COMPANY OF CALIFORNIA,Offshore Federal,WR678,OCS,Gulf of Mexico,WR  678,2023-06-01,187329,46987,0,30,30
G21245 PN002,608124005400,UNION OIL COMPANY OF CALIFORNIA,Offshore Federal,WR678,OCS,Gulf of Mexico,WR  678,2023-07-01,192397,49151,3646,31,31
G21245 PN002,608124005400,UNION OIL COMPANY OF CALIFORNIA,Offshore Federal,WR678,OCS,Gulf of Mexico,WR  678,2023-08-01,190506,48136,3915,31,31
G21245 PN002,608124005400,UNION OIL COMPANY OF CALIFORNIA,Offshore Federal,WR678,OCS,Gulf of Mexico,WR  678,2023-09-01,180975,46705,3704,30,30
G21245 PN002,608124005400,UNION OIL COMPANY OF CALIFORNIA,Offshore Federal,WR678,OCS,Gulf of Mexico,WR  678,2023-10-01,186269,46262,3828,31,31
G21245 PN002,608124005400,UNION OIL COMPANY OF CALIFORNIA,Offshore Federal,WR678,OCS,Gulf of Mexico,WR  678,2023-11-01,178891,44457,3862,30,30
G21245 PN002,608124005400,UNION OIL COMPANY OF CALIFORNIA,Offshore Federal,WR678,OCS,Gulf of Mexico,WR  678,2023-12-01,178151,43956,3793,31,31
G21245 PN002,608124005400,UNION OIL COMPANY OF CALIFORNIA,Offshore Federal,WR678,OCS,Gulf of Mexico,WR  678,2024-01-01,176655,43389,3749,31,31
G21245 PN002,608124005400,UNION OIL COMPANY OF CALIFORNIA,Offshore Federal,WR678,OCS,Gulf of Mexico,WR  678,2024-02-01,139209,34707,3052,28,29
G21245 PN002,608124005400,UNION OIL COMPANY OF CALIFORNIA,Offshore Federal,WR678,OCS,Gulf of Mexico,WR  678,2024-03-01,182680,43451,9107,31,31
G21245 PN002,608124005400,UNION OIL COMPANY OF CALIFORNIA,Offshore Federal,WR678,OCS,Gulf of Mexico,WR  678,2024-04-01,170881,39957,10119,30,30
G21245 PN002,608124005400,UNION OIL COMPANY OF CALIFORNIA,Offshore Federal,WR678,OCS,Gulf of Mexico,WR  678,2024-05-01,177211,41662,12925,31,31
G21245 PN002,608124005400,UNION OIL COMPANY OF CALIFORNIA,Offshore Federal,WR678,OCS,Gulf of Mexico,WR  678,2024-06-01,169049,39882,6494,30,30
G21245 PN002,608124005400,UNION OIL COMPANY OF CALIFORNIA,Offshore Federal,WR678,OCS,Gulf of Mexico,WR  678,2024-07-01,167745,39440,3863,31,31
G21245 PN002,608124005400,UNION OIL COMPANY OF CALIFORNIA,Offshore Federal,WR678,OCS,Gulf of Mexico,WR  678,2024-08-01,162195,39251,3745,29,31
G21245 PN002,608124005400,UNION OIL COMPANY OF CALIFORNIA,Offshore Federal,WR678,OCS,Gulf of Mexico,WR  678,2024-09-01,145920,34359,3456,27,30
G21245 PN002,608124005400,UNION OIL COMPANY OF CALIFORNIA,Offshore Federal,WR678,OCS,Gulf of Mexico,WR  678,2024-10-01,184757,43878,4346,31,31
G21245 PN002,608124005400,UNION OIL COMPANY OF CALIFORNIA,Offshore Federal,WR678,OCS,Gulf of Mexico,WR  678,2024-11-01,134744,31760,3161,24,30
G21245 PN002,608124005400,UNION OIL COMPANY OF CALIFORNIA,Offshore Federal,WR678,OCS,Gulf of Mexico,WR  678,2024-12-01,179963,43785,4274,31,31
G21245 PS001,608124005700,UNION OIL COMPANY OF CALIFORNIA,Offshore Federal,WR678,OCS,Gulf of Mexico,WR  678,2021-01-01,234116,54263,468,31,31
G21245 PS001,608124005700,UNION OIL COMPANY OF CALIFORNIA,Offshore Federal,WR678,OCS,Gulf of Mexico,WR  678,2021-02-01,215013,50749,431,28,28
G21245 PS001,608124005700,UNION OIL COMPANY OF CALIFORNIA,Offshore Federal,WR678,OCS,Gulf of Mexico,WR  678,2021-03-01,226071,58374,455,31,31
G21245 PS001,608124005700,UNION OIL COMPANY OF CALIFORNIA,Offshore Federal,WR678,OCS,Gulf of Mexico,WR  678,2021-04-01,220334,53102,60,30,30
G21245 PS001,608124005700,UNION OIL COMPANY OF CALIFORNIA,Offshore Federal,WR678,OCS,Gulf of Mexico,WR  678,2021-05-01,227099,53084,0,31,31
G21245 PS001,608124005700,UNION OIL COMPANY OF CALIFORNIA,Offshore Federal,WR678,OCS,Gulf of Mexico,WR  678,2021-06-01,195571,47976,0,30,30
G21245 PS001,608124005700,UNION OIL COMPANY OF CALIFORNIA,Offshore Federal,WR678,OCS,Gulf of Mexico,WR  678,2021-07-01,217673,52303,0,31,31
G21245 PS001,608124005700,UNION OIL COMPANY OF CALIFORNIA,Offshore Federal,WR678,OCS,Gulf of Mexico,WR  678,2021-08-01,180990,43454,0,26,31
G21245 PS001,608124005700,UNION OIL COMPANY OF CALIFORNIA,Offshore Federal,WR678,OCS,Gulf of Mexico,WR  678,2021-09-01,123930,29246,0,17,30
G21245 PS001,608124005700,UNION OIL COMPANY OF CALIFORNIA,Offshore Federal,WR678,OCS,Gulf of Mexico,WR  678,2021-10-01,148152,35918,0,31,31
G21245 PS001,608124005700,UNION OIL COMPANY OF CALIFORNIA,Offshore Federal,WR678,OCS,Gulf of Mexico,WR  678,2021-11-01,209925,49825,6,30,30
G21245 PS001,608124005700,UNION OIL COMPANY OF CALIFORNIA,Offshore Federal,WR678,OCS,Gulf of Mexico,WR  678,2021-12-01,219591,52389,91,31,31
